"id вопроса
",Номер билета,"Номер вопроса
(В билете)","Тема вопроса
","Картинка
(Прямая ссылка на изображение с расширением .jpg, .png)",Вопрос,Вариант1,Вариант2,Вариант3,"Вариант4
(Если варианта 4 нет,
 то не заполнять)",Правильный ответ,Подсказка,Ссылка на видеоразбор вопросов,,id темы,Тема,Количество вопросов,Изображение,Ссылка
11,,,Повороты,https://pdd-exam.ru/img/pdd-online/bilet1-8.jpg,Как Вам следует поступить при повороте направо?,Возможны оба варианта действий.,"Продолжить движение по второй полосе до перекрестка, затем повернуть.","Перестроиться на правую полосу, затем осуществить поворот.",,1,"Стрелы разметки 1.18 указывают, что на данном перекрестке поворот направо может осуществляться не только с правой, но и с левой полосы. Следовательно, Вы можете выполнить поворот, либо заранее перестроившись на крайнюю правую полосу (занять крайнее правое положение), либо продолжив движение по левой полосе (пункт 8.5. ПДД РФ).",None,,11,Светофор и регулировщик,74,,https://storage.watbot.ru/bots/53270/general/ff024287-461f-47a9-81c5-a0149352f34b.jpeg?expires_at=1728932607&s=dTZfWl2eB96lwqZyUzEswbnIG7MbabAe7aCk8KrS0LsU1rfSMaX5b1EPiXbE9jtZ&sign=1552f877e15755ad70611006604437f956927fbe1d9a836d50a0edb9aeddc19b
12,1,9,Разворот,https://pdd-exam.ru/img/pdd-online/bilet1-9.jpg,По какой траектории Вам разрешено выполнить разворот?,Только по Б.,Только по А.,По любой из указанных.,,2,"Выполняя разворот на этом перекрестке, вам придется использовать для движения участок проезжей части, имеющий двустороннее движение. Поэтому, въезжая на перекресток, вы можете продолжить движение только по правой стороне этого участка проезжей части (пункт 1.4 ПДД РФ), т.е. по траектории А.",https://vk.com/video-219391172_456239653?list=ln-55bGofuuSaAUhY0gkq,,12,Специальные сигналы,8,,https://storage.watbot.ru/bots/53270/general/9dc55604-555d-4f0a-a4c8-5aaa0f105bf4.png?expires_at=1728932607&s=zsxil150L8hGuQKKECFrg5i2Rxy7gvlNNWYNJIWdPqj0cp61o4SqlydMTI8iJvlx&sign=287bf095f16481b2938f903da90eb4655da43fd34d3e28dc74c1d4b22040d80b
13,1,10,Скорость движения,https://pdd-exam.ru/img/pdd-online/bilet1-10.jpg,С какой скоростью Вы можете продолжить движение вне населенного пункта по левой полосе на легковом автомобиле?,Не менее 50 км/ч и не более 70 км/ч.,Не более 50 км/ч.,Не менее 50 км/ч и не более 90 км/ч.,,3,"Знак 4.6 «Ограничение минимальной скорости» и табличка 8.14 «Полоса движения» предписывают двигаться по левой полосе со скоростью не менее 50 км/ч. Однако при этом на дороге вне населенного пункта, не относящейся к автомагистрали, вы не имеете права развивать скорость на легковом автомобиле более 90 км/ч (пункт 10.3 ПДД РФ).",https://vk.com/video-219391172_456239654?list=ln-K2VnXx3HJGuT7G2WGc,,13,Сигналы поворота,15,,https://storage.watbot.ru/bots/53270/general/07208fed-a32c-431e-9ed1-2f9575ee7f20.png?expires_at=1728932607&s=Lap0YwLCxk1V9Obc2BiQOXZtY0wQFSVAh97zgiG5V4O6hbNmP8NEDcYiBrOa77sy&sign=46806d69d4c867cf508848c2194c781f583ce3dd34279f36e560f9e6daefb893
14,,,Знаки Таблички,https://pdd-exam.ru/img/pdd-online/bilet1-10.jpg,С какой скоростью Вы можете продолжить движение вне населенного пункта по левой полосе на легковом автомобиле?,Не менее 50 км/ч и не более 70 км/ч.,Не более 50 км/ч.,Не менее 50 км/ч и не более 90 км/ч.,,3,"Знак 4.6 «Ограничение минимальной скорости» и табличка 8.14 «Полоса движения» предписывают двигаться по левой полосе со скоростью не менее 50 км/ч. Однако при этом на дороге вне населенного пункта, не относящейся к автомагистрали, вы не имеете права развивать скорость на легковом автомобиле более 90 км/ч (пункт 10.3 ПДД РФ).",None,,14,Повороты,26,,https://storage.watbot.ru/bots/53270/general/3c18889c-020a-44cb-8ed3-adde7ff88f82.jpeg?expires_at=1728932607&s=WleeYfMvcoaeZBgMFbWi0z92jbukml6rL5jOUjx0iSTgyLtneN1X7G806judmi6y&sign=0cea02cc80e27cdc8d26bc752ee5bf528ab387c3a90fe9578a8248d2db58dda6
15,1,11,Обгон. Опережение. Встречный разъезд,https://pdd-exam.ru/img/pdd-online/bilet1-11.jpg,Можно ли водителю легкового автомобиля выполнить опережение грузовых автомобилей вне населенного пункта по такой траектории?,"Можно, если скорость грузовых автомобилей менее 30 км/ч.",Нельзя.,Можно.,,3,"Вне населенных пунктов водители ТС должны вести их по возможности ближе к правому краю проезжей части (пункт 9.4 ПДД РФ). Однако можно последовательно опередить несколько ТС, следующих друг за другом на незначительной дистанции. На изображении водитель легкового автомобиля приближается к перекрестку неравнозначных дорог, двигаясь по главной дороге (знак 2.3.1 ""Пересечение с второстепенной дорогой""), имеющей 2 полосы для движения в данном направлении. Он может совершить опережение обоих грузовых автомобилей по любой траектории.",https://vk.com/video-219391172_456239658?list=ln-xuULcKMxv1mGFhORSz,,15,Разворот,26,,https://storage.watbot.ru/bots/53270/general/851c0b5e-06ad-433a-bc4f-918c35885e1c.jpeg?expires_at=1728932607&s=6BMyYlj2q69QHVxUgGQFViy2Vyh9guwh360ow8xpn46FjwtCeQk0OFVbcWYArxad&sign=6e8b034c06ad249bc1c79430f79fb0877c58de5163546c9721b84bb89708245c
16,1,12,Стоянка ,https://pdd-exam.ru/img/pdd-online/bilet1-12.jpg,В каком случае водителю разрешается поставить автомобиль на стоянку в указанном месте?,Только если расстояние до сплошной линии разметки не менее 3 м.,Только если расстояние до края пересекаемой проезжей части не менее 5 м.,При соблюдении обоих перечисленных условий.,,3,"Остановившись за пешеходным переходом в 5 м от края пересекаемой проезжей части и обеспечив при этом расстояние в 3 м до сплошной линии разметки, водитель не нарушил правила стоянки (пункт 12.4 ПДД РФ и пункт 12.5 ПДД РФ).",https://vk.com/video-219391172_456239656?list=ln-sMigYNmkbOHGceerzC,,16,Аварийная сигнализация,12,,https://storage.watbot.ru/bots/53270/general/4df78a63-8fb3-4199-aea8-406f4d30e919.jpeg?expires_at=1728932607&s=0VgNMhp39MdvO4dbqHfsPxurG5jsnPgiCR7Bij36eOXA2eFeaiWMcc3fsvdtUeUb&sign=eaded6804b6baa22a67958a079d09d34300619e9afce566b6efe971559ad93c4
17,,,Проезд регулируемого перекрестка,https://pdd-exam.ru/img/pdd-online/bilet1-12.jpg,В каком случае водителю разрешается поставить автомобиль на стоянку в указанном месте?,Только если расстояние до сплошной линии разметки не менее 3 м.,Только если расстояние до края пересекаемой проезжей части не менее 5 м.,При соблюдении обоих перечисленных условий.,,3,"Остановившись за пешеходным переходом в 5 м от края пересекаемой проезжей части и обеспечив при этом расстояние в 3 м до сплошной линии разметки, водитель не нарушил правила стоянки (пункт 12.4 ПДД РФ и пункт 12.5 ПДД РФ).",None,,17,Расположение ТС,25,,https://storage.watbot.ru/bots/53270/general/a1b82e50-4a1f-49aa-b763-ec0a9e5e0040.jpeg?expires_at=1728932607&s=BKe7UcC4Fp7XPM8brR3PcofunwZLklaBlmKONADpQ7yyieuLi0GJpvr0uxndkw17&sign=5a93c9093cdd55ad92ca677bd09bcd0ebd7f6ead93c10f3123566b42b3daefea
18,1,13,Светофор и регулировщик,https://pdd-exam.ru/img/pdd-online/bilet1-13.jpg,При повороте направо Вы должны уступить дорогу:,Только велосипедисту.,Только пешеходам.,Никому.,Пешеходам и велосипедисту.,4,"По разрешающему сигналу светофора Вы можете повернуть направо. С учетом того, что при повороте направо ТС должно двигаться по возможности ближе к правому краю проезжей части (пункт 8.6 ПДД РФ), Вы, находясь позади велосипедиста, должны пропустить его и уступить дорогу пешеходам при повороте на проезжую часть дороги, которую они пересекают (пункт 13.1 ПДД РФ).",https://vkvideo.ru/video-219391172_456239659?list=ln-C2hoGmPdHX93YtcFRr,,18,Скорость движения,28,,https://storage.watbot.ru/bots/53270/general/b201de13-3788-4ea8-a249-fa1d7ff8f97f.png?expires_at=1728932607&s=d8PmQEdKP4gywwnvXsIIJ4e7kX3I7eTPvTUSmfTCoGymC5dYLiH9smemFeSQSZid&sign=3892490503d33ee15111760ee078d3d8bacc8541adc07388e01469bbf3073b88
19,1,14,Проезд равнозначного перекрестка,https://pdd-exam.ru/img/pdd-online/bilet1-14.jpg,Вы намерены проехать перекресток в прямом направлении. Кому Вы должны уступить дорогу?,Обоим трамваям.,Только трамваю Б.,Никому.,Только трамваю А.,1,"В данной ситуации Вы должны уступить дорогу обоим трамваям, так как на перекрестке равнозначных дорог трамвай имеет преимущество перед безрельсовыми ТС независимо от направления его движения (пункт 13.11 ПДД РФ).",https://vkvideo.ru/video-219391172_456239660?list=ln-9X2iVMakW0U4XW0KZc,,19,Обгон. Опережение. Встречный разъезд,42,,https://storage.watbot.ru/bots/53270/general/0100c923-094c-4e0e-b245-088589b08d33.png?expires_at=1728932607&s=Q5qlQqUvhGo1KzeW5x6ob5qbURRxCSPlRVvhrqnsLdMkCA8B8vHm84N6XYnzW7eb&sign=fccb428750032a1f94c001a5ec6b52ff8af771c289f72750e4a7d4339e830156
20,1,15,Знаки Таблички,https://pdd-exam.ru/img/pdd-online/bilet1-15.jpg,Кому Вы обязаны уступить дорогу при повороте налево?,Только легковому автомобилю.,Никому.,Только автобусу.,,2,"Проезжая данный перекресток неравнозначных дорог по направлению главной дороги (знаки 2.1 «Главная дорога» и 8.13 «Направление главной дороги»), Вы никому не должны уступать дорогу, так как пользуетесь преимуществом как перед находящимся на главной дороге автобусом, для которого Вы являетесь «помехой справа» (пункт 13.10 и пункт 13.11), так и перед легковым автомобилем, движущимся по второстепенной дороге (пункт 13.9 ПДД РФ).",https://vkvideo.ru/video-219391172_456239661?list=ln-FARvyg9V9GZF4PAOO1,,20,Остановка,40,,https://storage.watbot.ru/bots/53270/general/d511b9e0-326c-4eab-8aa3-80dfcc780357.jpeg?expires_at=1728932607&s=WD625CfEYtIIV8V3ob5BcGRhUCzNh3WWFSIEJcLrI7KXSaU6wNUPUbhu4Cw5JLuu&sign=a0ab86ab030ae054b625c8feb9a514a2524d3e2c8a98e8ed056d0bad522c178b
21,,,Проезд неравнозначного перекрестка,https://pdd-exam.ru/img/pdd-online/bilet1-15.jpg,Кому Вы обязаны уступить дорогу при повороте налево?,Только легковому автомобилю.,Никому.,Только автобусу.,,2,"Проезжая данный перекресток неравнозначных дорог по направлению главной дороги (знаки 2.1 «Главная дорога» и 8.13 «Направление главной дороги»), Вы никому не должны уступать дорогу, так как пользуетесь преимуществом как перед находящимся на главной дороге автобусом, для которого Вы являетесь «помехой справа» (пункт 13.10 и пункт 13.11), так и перед легковым автомобилем, движущимся по второстепенной дороге (пункт 13.9 ПДД РФ).",None,,21,Стоянка,34,,https://storage.watbot.ru/bots/53270/general/2fbb2253-a43d-4cd0-95b1-3cfd27ab75d1.jpeg?expires_at=1728932607&s=HHLPCrBXFrpHq1glIyo3f9WE4ZcsGbMRXayFxHDIg6KlSRmO9PKgeyLk11PWC9oB&sign=beb457a53feb1c37cd7814a254d8f0a238714deb5d98f74c795f1db8ea03ef3a
22,1,16,Скорость движения ,https://pdd-exam.ru/img/pdd-online/bilet1-16.jpg,С какой максимальной скоростью можно продолжить движение за знаком?,60 км/ч.,50 км/ч.,30 км/ч.,20 км/ч.,4,"Знак 5.21 «Жилая зона» показывает, что Вы въезжаете на территорию, где скорость не должна превышать 20 км/ч (пункт 10.2 ПДД РФ).",https://vkvideo.ru/video-219391172_456239662?list=ln-vVTXRiokxm0UGccYUn,,22,Проезд регулируемого перекрестка,40,,https://storage.watbot.ru/bots/53270/general/df8b5d47-b21b-412c-b3ab-e55040dc6762.jpeg?expires_at=1728932679&s=rmTwo8Dm0DS7P7Mjz70pGMLP63V2yRMSX8qNovQ1fwIe7Spt4ZWEVStRoNGr0CZS&sign=5abfa6c1ad91571770ed888014c122c1a95bbbfc89fd9e991c7f37044b91a97e
23,,,Специальные режимы движения,https://pdd-exam.ru/img/pdd-online/bilet1-16.jpg,С какой максимальной скоростью можно продолжить движение за знаком?,60 км/ч.,50 км/ч.,30 км/ч.,20 км/ч.,4,"Знак 5.21 «Жилая зона» показывает, что Вы въезжаете на территорию, где скорость не должна превышать 20 км/ч (пункт 10.2 ПДД РФ).",None,,23,Проезд равнозначного перекрестка,41,,https://storage.watbot.ru/bots/53270/general/7d2159d5-5e97-4bb8-8d66-1432423e78b6.jpeg?expires_at=1728932679&s=Qdr8dtTwADmUR91EGOp00vlxrNz2moZTtYrKEP1VgkMCbgYpfbquBBunoIaop7vZ&sign=6bf70278cb4d1812766bf7af1c5b90d4275b34c866e3daf6543c6964cd1143a4
24,1,17,Перевозка людей и грузов,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,Для перевозки людей на мотоцикле водитель должен иметь водительское удостоверение на право управления транспортными средствами:,Только категории «A» или подкатегории «A1» в течение двух и более лет.,Категории «A» или подкатегории «A1».,Любой категории или подкатегории в течение двух и более лет.,,1,"Перевозка людей на мотоцикле должна осуществляться водителем, имеющим водительское удостоверение на право управления ТС категории «A» или подкатегории «A1» в течение двух и более лет (пункт 22.2(1) ПДД РФ).",https://vkvideo.ru/video-219391172_456239663?list=ln-9wAJXi7Eh4wxQCxZPW,,24,Проезд неравнозначного перекрестка,40,,https://storage.watbot.ru/bots/53270/general/c7424e1f-afdd-4882-9cb5-c7cbf4c7513c.jpeg?expires_at=1728932679&s=tkXc33LDimKCWeK4WTHJ5lcXyeVCyuJ4MiX6J6bCQlWdUImeLIwVFSZgJXpKMk3L&sign=afba5f995fba0bef41303d07568c4ba0bbefc4236bdf3c57aad41930f300fe2a
25,1,18,Неисправности и запрет,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,При какой неисправности разрешается эксплуатация транспортного средства?,Не работают пробки топливных баков.,Не работают устройства обогрева и обдува стекол.,Не работает стеклоподъемник.,Не работают механизм регулировки и фиксирующее устройство сиденья водителя.,3,"Из всех перечисленных неисправностей только неработающий стеклоподъемник не является причиной запрещения эксплуатации ТС. Остальные неисправности включены в Перечень (п. 7.4), и при их наличии эксплуатация ТС запрещена.",https://vkvideo.ru/video-219391172_456239664?list=ln-ACcyevySop6uDVzXGK,,25,"Пешеходные переходы, остановки и приоритет МТС",14,,https://storage.watbot.ru/bots/53270/general/47120e28-d11d-4d94-a632-4f82d59106b1.jpeg?expires_at=1728932679&s=D1HjzZqlCTnyLTxipkX6NwhUCuJbfgoKb2NZzFNzk1ZOuiKHTtFyQ4uSr6NTMIxL&sign=80e8f451d04f9fc6d54e2d28420fb1040b30edf571b3c4b04f4b97bd62b271ec
26,1,19,Основы безопасности,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,"В случае, когда правые колеса автомобиля наезжают на неукрепленную влажную обочину, рекомендуется:",Затормозить и плавно направить автомобиль на проезжую часть.,Затормозить и полностью остановиться.,"Не прибегая к торможению, плавно направить автомобиль на проезжую часть.",,3,"При съезде автомобиля правыми колесами на неукрепленную и влажную обочину возникает опасность заноса из-за разницы сцепления правых и левых колес с дорогой. При этом целесообразно, не меняя скорости, т.е. не прибегая к торможению, плавным поворотом рулевого колеса вернуть автомобиль на проезжую часть. Торможение в данной ситуации может вызвать занос автомобиля.",https://vkvideo.ru/video-219391172_456239665?list=ln-G5rEy5OcZdISnkkYzg,,26,Специальные режимы движения,39,,https://storage.watbot.ru/bots/53270/general/b974277e-ab50-4216-b513-7c4a6b171611.jpeg?expires_at=1728932679&s=EBVwDEOSO5ScvfDi1QxLJS5UlWDH0vNScvFkYfgOiJqT2u1qkQhkHg0KaGmF7XXR&sign=56b6a26e0eaee5ca9dbe4f2b0c8bf19259179dc8764283df511e308ae3fc16fb
